
Timestamp	StatusLine	Rate (≈/S)	Film Thickness (k≈)	Substrate Thickness (k≈)	Frequency (Hz)
2018-05-11T11:55:22	RUNNING | 0:00:00 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	2709.25	0.000	0.000	5959461.85
2018-05-11T11:55:27	RUNNING | 0:00:05 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	-1.88	-0.000	0.000	5959463.72
2018-05-11T11:55:32	RUNNING | 0:00:10 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	-0.58	-0.010	-0.010	5959464.19
2018-05-11T11:55:37	RUNNING | 0:00:15 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	-0.33	-0.012	-0.012	5959464.49
2018-05-11T11:55:42	RUNNING | 0:00:20 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	-0.29	-0.014	-0.014	5959464.70
2018-05-11T11:55:47	RUNNING | 0:00:25 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	-0.24	-0.015	-0.015	5959464.92
2018-05-11T11:55:52	RUNNING | 0:00:30 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	-0.25	-0.016	-0.016	5959465.08
2018-05-11T11:55:57	RUNNING | 0:00:35 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	-0.22	-0.017	-0.017	5959465.21
2018-05-11T11:56:02	RUNNING | 0:00:40 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	-0.14	-0.018	-0.018	5959465.36
2018-05-11T11:56:07	RUNNING | 0:00:45 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	-0.06	-0.018	-0.018	5959465.55
2018-05-11T11:56:12	RUNNING | 0:00:50 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	-0.11	-0.019	-0.019	5959465.63
2018-05-11T11:56:17	RUNNING | 0:00:55 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	-0.11	-0.020	-0.020	5959465.74
2018-05-11T11:56:22	RUNNING | 0:01:01 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	-0.10	-0.021	-0.021	5959465.86
2018-05-11T11:56:27	RUNNING | 0:01:06 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	-0.08	-0.021	-0.021	5959465.92
2018-05-11T11:56:32	RUNNING | 0:01:11 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	-0.04	-0.021	-0.021	5959465.94
2018-05-11T11:56:37	RUNNING | 0:01:16 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	0.03	-0.022	-0.022	5959466.03
2018-05-11T11:56:42	RUNNING | 0:01:21 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	-0.07	-0.022	-0.022	5959466.07
2018-05-11T11:56:48	RUNNING | 0:01:26 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	-0.05	-0.022	-0.022	5959466.10
2018-05-11T11:56:53	RUNNING | 0:01:31 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	-0.10	-0.023	-0.023	5959466.18
2018-05-11T11:56:58	RUNNING | 0:01:36 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	-0.08	-0.023	-0.023	5959466.20
2018-05-11T11:57:03	RUNNING | 0:01:41 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	-0.01	-0.023	-0.023	5959466.27
2018-05-11T11:57:08	RUNNING | 0:01:46 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	-0.07	-0.023	-0.023	5959466.31
2018-05-11T11:57:13	RUNNING | 0:01:51 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	-0.07	-0.023	-0.023	5959466.31
2018-05-11T11:57:18	RUNNING | 0:01:56 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	0.05	-0.024	-0.024	5959466.33
2018-05-11T11:57:23	RUNNING | 0:02:01 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	-0.09	-0.024	-0.024	5959466.37
2018-05-11T11:57:28	RUNNING | 0:02:06 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	-0.04	-0.024	-0.024	5959466.31
2018-05-11T11:57:33	RUNNING | 0:02:11 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	-0.03	-0.024	-0.024	5959466.36
2018-05-11T11:57:38	RUNNING | 0:02:16 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	0.02	-0.024	-0.024	5959466.35
2018-05-11T11:57:43	RUNNING | 0:02:22 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	-0.02	-0.024	-0.024	5959466.41
2018-05-11T11:57:48	RUNNING | 0:02:27 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	0.11	-0.024	-0.024	5959466.38
2018-05-11T11:57:53	RUNNING | 0:02:32 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	-0.05	-0.024	-0.024	5959466.38
2018-05-11T11:57:58	RUNNING | 0:02:37 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	0.02	-0.024	-0.024	5959466.34
2018-05-11T11:58:03	RUNNING | 0:02:42 | Life  95% | RUN# 6237 | LOGGING ON | Film Ni x 40	0.00	-0.024	-0.024	5959466.35
